# Program:featureCounts v2.0.1; Command:"featureCounts" "-a" "/mnt/d/PERSONAL_SACO/Cubas lab/R/output/macs2_consensus.gff" "-o" "2022_03_09_feature_counts_macs2_consensus.txt" "-t" "gene" "-g" "gene_id" "-O" "-T" "4" "ChIP2_S5_R1_001_sorted.bam" "ChIP3_S6_R1_001_sorted.bam" "ChIP7_S4_R1_001_sorted.bam" "Input2_S2_R1_001_sorted.bam" "Input3_S3_R1_001_sorted.bam" "Input7_S1_R1_001_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	ChIP2_S5_R1_001_sorted.bam	ChIP3_S6_R1_001_sorted.bam	ChIP7_S4_R1_001_sorted.bam	Input2_S2_R1_001_sorted.bam	Input3_S3_R1_001_sorted.bam	Input7_S1_R1_001_sorted.bam
peak_1	1	37890	38184	.	295	87	162	142	6	30	41
peak_2	1	99260	99939	.	680	52	248	303	7	45	45
peak_3	1	146123	146585	.	463	60	265	274	6	21	25
peak_4	1	176279	176540	.	262	75	160	183	3	13	21
peak_5	1	190189	190545	.	357	86	391	232	11	40	36
peak_6	1	194847	195020	.	174	24	48	117	1	13	16
peak_7	1	207685	208052	.	368	98	279	246	10	33	35
peak_8	1	228161	228522	.	362	63	219	286	10	31	41
peak_9	1	239726	239961	.	236	29	79	152	3	17	24
peak_10	1	268073	268389	.	317	50	192	218	10	47	37
peak_11	1	270334	270740	.	407	71	84	121	10	39	39
peak_12	1	291481	291729	.	249	15	81	117	0	10	23
peak_13	1	302593	302923	.	331	30	150	108	4	22	27
peak_14	1	356725	357055	.	331	18	196	211	1	24	38
peak_15	1	358841	359056	.	216	17	78	114	8	22	29
peak_16	1	420125	420446	.	322	7	141	182	3	32	28
peak_17	1	426495	426762	.	268	16	88	149	2	19	21
peak_18	1	431017	431250	.	234	38	113	97	0	20	24
peak_19	1	439807	440024	.	218	29	87	106	4	13	24
peak_20	1	468737	469417	.	681	56	220	199	7	30	43
peak_21	1	471525	471795	.	271	30	120	138	3	15	24
peak_22	1	476487	476736	.	250	14	106	107	2	10	27
